(maxduration 1000)

(initial_agentposition (pos-r 2) (pos-c 2) (direction north))
(prior-cell (pos-r 19) (pos-c 7) (contains Empty))
(prior-cell (pos-r 18) (pos-c 7) (contains Empty))
(prior-cell (pos-r 17) (pos-c 7) (contains Empty))
(prior-cell (pos-r 16) (pos-c 7) (contains Empty))
(prior-cell (pos-r 15) (pos-c 7) (contains Empty))
(prior-cell (pos-r 14) (pos-c 7) (contains Empty))
(prior-cell (pos-r 13) (pos-c 7) (contains Empty))
(prior-cell (pos-r 12) (pos-c 7) (contains Empty))
(prior-cell (pos-r 11) (pos-c 7) (contains Wall))
(prior-cell (pos-r 10) (pos-c 7) (contains Empty))
(prior-cell (pos-r 9) (pos-c 7) (contains Empty))
(prior-cell (pos-r 8) (pos-c 7) (contains Empty))
(prior-cell (pos-r 7) (pos-c 7) (contains Empty))
(prior-cell (pos-r 6) (pos-c 7) (contains Empty))
(prior-cell (pos-r 5) (pos-c 7) (contains Seat))
(prior-cell (pos-r 4) (pos-c 7) (contains Seat))
(prior-cell (pos-r 3) (pos-c 7) (contains Empty))
(prior-cell (pos-r 2) (pos-c 7) (contains Empty))
(prior-cell (pos-r 1) (pos-c 7) (contains Wall))
(prior-cell (pos-r 20) (pos-c 8) (contains Wall))
(prior-cell (pos-r 19) (pos-c 8) (contains Empty))
(prior-cell (pos-r 18) (pos-c 8) (contains Seat))
(prior-cell (pos-r 17) (pos-c 8) (contains Empty))
(prior-cell (pos-r 16) (pos-c 8) (contains Empty))
(prior-cell (pos-r 15) (pos-c 8) (contains Empty))
(prior-cell (pos-r 14) (pos-c 8) (contains Empty))
(prior-cell (pos-r 13) (pos-c 8) (contains Seat))
(prior-cell (pos-r 12) (pos-c 8) (contains Empty))
(prior-cell (pos-r 11) (pos-c 8) (contains Wall))
(prior-cell (pos-r 10) (pos-c 8) (contains Empty))
(prior-cell (pos-r 9) (pos-c 8) (contains Empty))
(prior-cell (pos-r 8) (pos-c 8) (contains Empty))
(prior-cell (pos-r 7) (pos-c 8) (contains Empty))
(prior-cell (pos-r 6) (pos-c 8) (contains Empty))
(prior-cell (pos-r 5) (pos-c 8) (contains Empty))
(prior-cell (pos-r 4) (pos-c 8) (contains Empty))
(prior-cell (pos-r 3) (pos-c 8) (contains Empty))
(prior-cell (pos-r 2) (pos-c 8) (contains Empty))
(prior-cell (pos-r 1) (pos-c 8) (contains Wall))
(prior-cell (pos-r 20) (pos-c 9) (contains Wall))
(prior-cell (pos-r 19) (pos-c 9) (contains Empty))
(prior-cell (pos-r 18) (pos-c 9) (contains Seat))
(prior-cell (pos-r 17) (pos-c 9) (contains Table))
(prior-cell (pos-r 16) (pos-c 9) (contains Empty))
(prior-cell (pos-r 15) (pos-c 9) (contains Empty))
(prior-cell (pos-r 14) (pos-c 9) (contains Seat))
(prior-cell (pos-r 13) (pos-c 9) (contains Table))
(prior-cell (pos-r 12) (pos-c 9) (contains Seat))
(prior-cell (pos-r 11) (pos-c 9) (contains Wall))
(prior-cell (pos-r 10) (pos-c 9) (contains Empty))
(prior-cell (pos-r 9) (pos-c 9) (contains Empty))
(prior-cell (pos-r 8) (pos-c 9) (contains Empty))
(prior-cell (pos-r 7) (pos-c 9) (contains Empty))
(prior-cell (pos-r 6) (pos-c 9) (contains Empty))
(prior-cell (pos-r 5) (pos-c 9) (contains Empty))
(prior-cell (pos-r 4) (pos-c 9) (contains Empty))
(prior-cell (pos-r 3) (pos-c 9) (contains Empty))
(prior-cell (pos-r 2) (pos-c 9) (contains Empty))
(prior-cell (pos-r 1) (pos-c 9) (contains Wall))
(prior-cell (pos-r 20) (pos-c 10) (contains Wall))
(prior-cell (pos-r 19) (pos-c 10) (contains Empty))
(prior-cell (pos-r 18) (pos-c 10) (contains Seat))
(prior-cell (pos-r 17) (pos-c 10) (contains Seat))
(prior-cell (pos-r 16) (pos-c 10) (contains Empty))
(prior-cell (pos-r 15) (pos-c 10) (contains Empty))
(prior-cell (pos-r 14) (pos-c 10) (contains Empty))
(prior-cell (pos-r 13) (pos-c 10) (contains Empty))
(prior-cell (pos-r 12) (pos-c 10) (contains Empty))
(prior-cell (pos-r 11) (pos-c 10) (contains Empty))
(prior-cell (pos-r 10) (pos-c 10) (contains Empty))
(prior-cell (pos-r 9) (pos-c 10) (contains Empty))
(prior-cell (pos-r 8) (pos-c 10) (contains Empty))
(prior-cell (pos-r 7) (pos-c 10) (contains Empty))
(prior-cell (pos-r 6) (pos-c 10) (contains Empty))
(prior-cell (pos-r 5) (pos-c 10) (contains Seat))
(prior-cell (pos-r 4) (pos-c 10) (contains Seat))
(prior-cell (pos-r 3) (pos-c 10) (contains Empty))
(prior-cell (pos-r 2) (pos-c 10) (contains Empty))
(prior-cell (pos-r 1) (pos-c 10) (contains Wall))
(prior-cell (pos-r 20) (pos-c 11) (contains Wall))
(prior-cell (pos-r 19) (pos-c 11) (contains Empty))
(prior-cell (pos-r 18) (pos-c 11) (contains Empty))
(prior-cell (pos-r 17) (pos-c 11) (contains Empty))
(prior-cell (pos-r 16) (pos-c 11) (contains Empty))
(prior-cell (pos-r 15) (pos-c 11) (contains Empty))
(prior-cell (pos-r 14) (pos-c 11) (contains Empty))
(prior-cell (pos-r 13) (pos-c 11) (contains Empty))
(prior-cell (pos-r 12) (pos-c 11) (contains Empty))
(prior-cell (pos-r 11) (pos-c 11) (contains Empty))
(prior-cell (pos-r 10) (pos-c 11) (contains Empty))
(prior-cell (pos-r 9) (pos-c 11) (contains Empty))
(prior-cell (pos-r 8) (pos-c 11) (contains Empty))
(prior-cell (pos-r 7) (pos-c 11) (contains Empty))
(prior-cell (pos-r 6) (pos-c 11) (contains Empty))
(prior-cell (pos-r 5) (pos-c 11) (contains Table))
(prior-cell (pos-r 4) (pos-c 11) (contains Seat))
(prior-cell (pos-r 3) (pos-c 11) (contains Empty))
(prior-cell (pos-r 2) (pos-c 11) (contains Empty))
(prior-cell (pos-r 1) (pos-c 11) (contains Wall))
(prior-cell (pos-r 20) (pos-c 12) (contains Wall))
(prior-cell (pos-r 19) (pos-c 12) (contains Empty))
(prior-cell (pos-r 18) (pos-c 12) (contains Empty))
(prior-cell (pos-r 17) (pos-c 12) (contains Empty))
(prior-cell (pos-r 16) (pos-c 12) (contains Empty))
(prior-cell (pos-r 15) (pos-c 12) (contains Empty))
(prior-cell (pos-r 14) (pos-c 12) (contains Empty))
(prior-cell (pos-r 13) (pos-c 12) (contains Empty))
(prior-cell (pos-r 12) (pos-c 12) (contains Empty))
(prior-cell (pos-r 11) (pos-c 12) (contains Empty))
(prior-cell (pos-r 10) (pos-c 12) (contains Empty))
(prior-cell (pos-r 9) (pos-c 12) (contains Empty))
(prior-cell (pos-r 8) (pos-c 12) (contains Empty))
(prior-cell (pos-r 7) (pos-c 12) (contains Empty))
(prior-cell (pos-r 6) (pos-c 12) (contains Empty))
(prior-cell (pos-r 5) (pos-c 12) (contains Seat))
(prior-cell (pos-r 4) (pos-c 12) (contains Seat))
(prior-cell (pos-r 3) (pos-c 12) (contains Empty))
(prior-cell (pos-r 2) (pos-c 12) (contains Empty))
(prior-cell (pos-r 1) (pos-c 12) (contains Wall))
(prior-cell (pos-r 20) (pos-c 13) (contains Wall))
(prior-cell (pos-r 19) (pos-c 13) (contains Empty))
(prior-cell (pos-r 18) (pos-c 13) (contains Empty))
(prior-cell (pos-r 17) (pos-c 13) (contains Empty))
(prior-cell (pos-r 16) (pos-c 13) (contains Empty))
(prior-cell (pos-r 15) (pos-c 13) (contains Empty))
(prior-cell (pos-r 14) (pos-c 13) (contains Empty))
(prior-cell (pos-r 13) (pos-c 13) (contains Empty))
(prior-cell (pos-r 12) (pos-c 13) (contains Empty))
(prior-cell (pos-r 11) (pos-c 13) (contains Empty))
(prior-cell (pos-r 10) (pos-c 13) (contains Empty))
(prior-cell (pos-r 9) (pos-c 13) (contains Empty))
(prior-cell (pos-r 8) (pos-c 13) (contains Empty))
(prior-cell (pos-r 7) (pos-c 13) (contains Empty))
(prior-cell (pos-r 6) (pos-c 13) (contains Empty))
(prior-cell (pos-r 5) (pos-c 13) (contains Empty))
(prior-cell (pos-r 4) (pos-c 13) (contains Empty))
(prior-cell (pos-r 3) (pos-c 13) (contains Empty))
(prior-cell (pos-r 2) (pos-c 13) (contains Empty))
(prior-cell (pos-r 1) (pos-c 13) (contains Wall))
(prior-cell (pos-r 20) (pos-c 14) (contains Wall))
(prior-cell (pos-r 19) (pos-c 14) (contains Empty))
(prior-cell (pos-r 18) (pos-c 14) (contains Empty))
(prior-cell (pos-r 17) (pos-c 14) (contains Empty))
(prior-cell (pos-r 16) (pos-c 14) (contains Empty))
(prior-cell (pos-r 15) (pos-c 14) (contains Empty))
(prior-cell (pos-r 14) (pos-c 14) (contains Empty))
(prior-cell (pos-r 13) (pos-c 14) (contains Empty))
(prior-cell (pos-r 12) (pos-c 14) (contains Empty))
(prior-cell (pos-r 11) (pos-c 14) (contains Empty))
(prior-cell (pos-r 10) (pos-c 14) (contains Empty))
(prior-cell (pos-r 9) (pos-c 14) (contains Empty))
(prior-cell (pos-r 8) (pos-c 14) (contains Empty))
(prior-cell (pos-r 7) (pos-c 14) (contains Empty))
(prior-cell (pos-r 6) (pos-c 14) (contains Empty))
(prior-cell (pos-r 5) (pos-c 14) (contains Empty))
(prior-cell (pos-r 4) (pos-c 14) (contains Empty))
(prior-cell (pos-r 3) (pos-c 14) (contains Empty))
(prior-cell (pos-r 2) (pos-c 14) (contains Empty))
(prior-cell (pos-r 1) (pos-c 14) (contains Wall))
(prior-cell (pos-r 20) (pos-c 15) (contains Wall))
(prior-cell (pos-r 19) (pos-c 15) (contains Empty))
(prior-cell (pos-r 18) (pos-c 15) (contains Empty))
(prior-cell (pos-r 17) (pos-c 15) (contains Empty))
(prior-cell (pos-r 16) (pos-c 15) (contains Empty))
(prior-cell (pos-r 15) (pos-c 15) (contains Empty))
(prior-cell (pos-r 14) (pos-c 15) (contains Empty))
(prior-cell (pos-r 13) (pos-c 15) (contains Empty))
(prior-cell (pos-r 12) (pos-c 15) (contains Empty))
(prior-cell (pos-r 11) (pos-c 15) (contains Empty))
(prior-cell (pos-r 10) (pos-c 15) (contains Empty))
(prior-cell (pos-r 9) (pos-c 15) (contains Empty))
(prior-cell (pos-r 8) (pos-c 15) (contains Empty))
(prior-cell (pos-r 7) (pos-c 15) (contains Empty))
(prior-cell (pos-r 6) (pos-c 15) (contains Empty))
(prior-cell (pos-r 5) (pos-c 15) (contains Empty))
(prior-cell (pos-r 4) (pos-c 15) (contains Empty))
(prior-cell (pos-r 3) (pos-c 15) (contains Empty))
(prior-cell (pos-r 2) (pos-c 15) (contains Empty))
(prior-cell (pos-r 1) (pos-c 15) (contains Wall))
(prior-cell (pos-r 20) (pos-c 16) (contains Wall))
(prior-cell (pos-r 19) (pos-c 16) (contains Empty))
(prior-cell (pos-r 18) (pos-c 16) (contains Seat))
(prior-cell (pos-r 17) (pos-c 16) (contains Table))
(prior-cell (pos-r 16) (pos-c 16) (contains Empty))
(prior-cell (pos-r 15) (pos-c 16) (contains Empty))
(prior-cell (pos-r 14) (pos-c 16) (contains Seat))
(prior-cell (pos-r 13) (pos-c 16) (contains Table))
(prior-cell (pos-r 12) (pos-c 16) (contains Seat))
(prior-cell (pos-r 11) (pos-c 16) (contains Empty))
(prior-cell (pos-r 10) (pos-c 16) (contains Seat))
(prior-cell (pos-r 9) (pos-c 16) (contains Table))
(prior-cell (pos-r 8) (pos-c 16) (contains Seat))
(prior-cell (pos-r 7) (pos-c 16) (contains Empty))
(prior-cell (pos-r 6) (pos-c 16) (contains Seat))
(prior-cell (pos-r 5) (pos-c 16) (contains Table))
(prior-cell (pos-r 4) (pos-c 16) (contains Seat))
(prior-cell (pos-r 3) (pos-c 16) (contains Empty))
(prior-cell (pos-r 2) (pos-c 16) (contains Empty))
(prior-cell (pos-r 1) (pos-c 16) (contains Wall))
(prior-cell (pos-r 20) (pos-c 17) (contains Wall))
(prior-cell (pos-r 19) (pos-c 17) (contains Empty))
(prior-cell (pos-r 18) (pos-c 17) (contains Seat))
(prior-cell (pos-r 17) (pos-c 17) (contains Seat))
(prior-cell (pos-r 16) (pos-c 17) (contains Empty))
(prior-cell (pos-r 15) (pos-c 17) (contains Empty))
(prior-cell (pos-r 14) (pos-c 17) (contains Empty))
(prior-cell (pos-r 13) (pos-c 17) (contains Empty))
(prior-cell (pos-r 12) (pos-c 17) (contains Empty))
(prior-cell (pos-r 11) (pos-c 17) (contains Empty))
(prior-cell (pos-r 10) (pos-c 17) (contains Empty))
(prior-cell (pos-r 9) (pos-c 17) (contains Seat))
(prior-cell (pos-r 8) (pos-c 17) (contains Empty))
(prior-cell (pos-r 7) (pos-c 17) (contains Empty))
(prior-cell (pos-r 6) (pos-c 17) (contains Empty))
(prior-cell (pos-r 5) (pos-c 17) (contains Seat))
(prior-cell (pos-r 4) (pos-c 17) (contains Empty))
(prior-cell (pos-r 3) (pos-c 17) (contains Empty))
(prior-cell (pos-r 2) (pos-c 17) (contains Empty))
(prior-cell (pos-r 1) (pos-c 17) (contains Wall))
(prior-cell (pos-r 20) (pos-c 18) (contains Wall))
(prior-cell (pos-r 19) (pos-c 18) (contains Empty))
(prior-cell (pos-r 18) (pos-c 18) (contains Empty))
(prior-cell (pos-r 17) (pos-c 18) (contains Empty))
(prior-cell (pos-r 16) (pos-c 18) (contains Empty))
(prior-cell (pos-r 15) (pos-c 18) (contains Empty))
(prior-cell (pos-r 14) (pos-c 18) (contains Empty))
(prior-cell (pos-r 13) (pos-c 18) (contains Empty))
(prior-cell (pos-r 12) (pos-c 18) (contains Empty))
(prior-cell (pos-r 11) (pos-c 18) (contains Empty))
(prior-cell (pos-r 10) (pos-c 18) (contains Empty))
(prior-cell (pos-r 9) (pos-c 18) (contains Empty))
(prior-cell (pos-r 8) (pos-c 18) (contains Empty))
(prior-cell (pos-r 7) (pos-c 18) (contains Empty))
(prior-cell (pos-r 6) (pos-c 18) (contains Empty))
(prior-cell (pos-r 5) (pos-c 18) (contains Empty))
(prior-cell (pos-r 4) (pos-c 18) (contains Empty))
(prior-cell (pos-r 3) (pos-c 18) (contains Empty))
(prior-cell (pos-r 2) (pos-c 18) (contains Empty))
(prior-cell (pos-r 1) (pos-c 18) (contains Wall))
(prior-cell (pos-r 20) (pos-c 19) (contains Wall))
(prior-cell (pos-r 19) (pos-c 19) (contains Empty))
(prior-cell (pos-r 18) (pos-c 19) (contains Empty))
(prior-cell (pos-r 17) (pos-c 19) (contains Empty))
(prior-cell (pos-r 16) (pos-c 19) (contains Empty))
(prior-cell (pos-r 15) (pos-c 19) (contains Empty))
(prior-cell (pos-r 14) (pos-c 19) (contains Empty))
(prior-cell (pos-r 13) (pos-c 19) (contains Empty))
(prior-cell (pos-r 12) (pos-c 19) (contains Empty))
(prior-cell (pos-r 11) (pos-c 19) (contains Empty))
(prior-cell (pos-r 10) (pos-c 19) (contains Empty))
(prior-cell (pos-r 9) (pos-c 19) (contains Empty))
(prior-cell (pos-r 8) (pos-c 19) (contains Empty))
(prior-cell (pos-r 7) (pos-c 19) (contains Empty))
(prior-cell (pos-r 6) (pos-c 19) (contains Empty))
(prior-cell (pos-r 5) (pos-c 19) (contains Empty))
(prior-cell (pos-r 4) (pos-c 19) (contains Empty))
(prior-cell (pos-r 3) (pos-c 19) (contains Empty))
(prior-cell (pos-r 2) (pos-c 19) (contains Empty))
(prior-cell (pos-r 1) (pos-c 19) (contains Wall))
(prior-cell (pos-r 20) (pos-c 20) (contains Wall))
(prior-cell (pos-r 19) (pos-c 20) (contains Wall))
(prior-cell (pos-r 18) (pos-c 20) (contains Wall))
(prior-cell (pos-r 17) (pos-c 20) (contains Wall))
(prior-cell (pos-r 16) (pos-c 20) (contains Wall))
(prior-cell (pos-r 15) (pos-c 20) (contains Wall))
(prior-cell (pos-r 14) (pos-c 20) (contains Wall))
(prior-cell (pos-r 13) (pos-c 20) (contains Wall))
(prior-cell (pos-r 12) (pos-c 20) (contains Wall))
(prior-cell (pos-r 11) (pos-c 20) (contains Wall))
(prior-cell (pos-r 10) (pos-c 20) (contains Wall))
(prior-cell (pos-r 9) (pos-c 20) (contains Wall))
(prior-cell (pos-r 8) (pos-c 20) (contains Wall))
(prior-cell (pos-r 7) (pos-c 20) (contains Wall))
(prior-cell (pos-r 6) (pos-c 20) (contains Wall))
(prior-cell (pos-r 5) (pos-c 20) (contains Wall))
(prior-cell (pos-r 4) (pos-c 20) (contains Wall))
(prior-cell (pos-r 3) (pos-c 20) (contains Wall))
(prior-cell (pos-r 2) (pos-c 20) (contains Wall))
(prior-cell (pos-r 1) (pos-c 20) (contains Wall))

;------------------------------------------------
;--------------------PCPC------------------------
;------------------------------------------------
(pcpc (source-r 13) (source-c 17) (dest-r 13) (dest-c 17) (cost 0))
(pcpc (source-r 13) (source-c 17) (dest-r 16) (dest-c 16) (cost 8))
(pcpc (source-r 16) (source-c 16) (dest-r 13) (dest-c 17) (cost 8))
(pcpc (source-r 13) (source-c 17) (dest-r 5) (dest-c 15) (cost 20))
(pcpc (source-r 5) (source-c 15) (dest-r 13) (dest-c 17) (cost 20))
(pcpc (source-r 13) (source-c 17) (dest-r 9) (dest-c 15) (cost 12))
(pcpc (source-r 9) (source-c 15) (dest-r 13) (dest-c 17) (cost 12))
(pcpc (source-r 13) (source-c 17) (dest-r 13) (dest-c 15) (cost 12))
(pcpc (source-r 13) (source-c 15) (dest-r 13) (dest-c 17) (cost 12))
(pcpc (source-r 13) (source-c 17) (dest-r 17) (dest-c 15) (cost 12))
(pcpc (source-r 17) (source-c 15) (dest-r 13) (dest-c 17) (cost 12))
(pcpc (source-r 13) (source-c 17) (dest-r 6) (dest-c 11) (cost 26))
(pcpc (source-r 6) (source-c 11) (dest-r 13) (dest-c 17) (cost 26))
(pcpc (source-r 13) (source-c 17) (dest-r 13) (dest-c 10) (cost 22))
(pcpc (source-r 13) (source-c 10) (dest-r 13) (dest-c 17) (cost 22))
(pcpc (source-r 13) (source-c 17) (dest-r 16) (dest-c 9) (cost 22))
(pcpc (source-r 16) (source-c 9) (dest-r 13) (dest-c 17) (cost 22))
(pcpc (source-r 13) (source-c 17) (dest-r 17) (dest-c 8) (cost 26))
(pcpc (source-r 17) (source-c 8) (dest-r 13) (dest-c 17) (cost 26))
(pcpc (source-r 13) (source-c 17) (dest-r 6) (dest-c 6) (cost 36))
(pcpc (source-r 6) (source-c 6) (dest-r 13) (dest-c 17) (cost 36))
(pcpc (source-r 13) (source-c 17) (dest-r 9) (dest-c 7) (cost 28))
(pcpc (source-r 9) (source-c 7) (dest-r 13) (dest-c 17) (cost 28))
(pcpc (source-r 13) (source-c 17) (dest-r 8) (dest-c 6) (cost 32))
(pcpc (source-r 8) (source-c 6) (dest-r 13) (dest-c 17) (cost 32))
(pcpc (source-r 13) (source-c 17) (dest-r 13) (dest-c 5) (cost 32))
(pcpc (source-r 13) (source-c 5) (dest-r 13) (dest-c 17) (cost 32))
(pcpc (source-r 13) (source-c 17) (dest-r 14) (dest-c 4) (cost 32))
(pcpc (source-r 14) (source-c 4) (dest-r 13) (dest-c 17) (cost 32))
(pcpc (source-r 13) (source-c 17) (dest-r 17) (dest-c 5) (cost 32))
(pcpc (source-r 17) (source-c 5) (dest-r 13) (dest-c 17) (cost 32))
(pcpc (source-r 13) (source-c 17) (dest-r 16) (dest-c 4) (cost 32))
(pcpc (source-r 16) (source-c 4) (dest-r 13) (dest-c 17) (cost 32))
(pcpc (source-r 13) (source-c 17) (dest-r 5) (dest-c 3) (cost 44))
